id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
16030692,Boucle Fenêtre => Ilet à Guillaume => RF Affouches => Fenêtre,Run,15851.0,895.0,448.0,1265.0,5994,6335.3,6716.0,745,426
18022134,Sainte marie- Ravine des chèvres,Run,2250.7,43.4,17.4,30.7,483,499.9,513.0,16198,2401
5359291,Ste Suzanne/Ste Marie,Run,4911.1,65.7,7.1,38.0,1057,1096.1,1135.0,5964,1382
11167397,Montée Duparc,Run,1430.8,49.9,54.1,104.0,290,332.8,357.0,3673,472
11090021,Montée La Mare,Run,754.0,20.9,21.5,42.4,147,158.6,167.0,14685,2554
12928305,Ligne droite de  La Mare,Run,712.3,7.0,31.0,40.0,115,134.8,143.0,17841,2555
24650916,Gillot - RP La Mare by AP,Run,2644.2,8.7,14.0,50.4,510,594.4,619.0,8199,1701
22999845,1 km sentier littoral sens ste marie-ste suzanne,Run,984.1,2.3,25.3,33.8,161,187.5,195.0,17190,2506
11076498,Rue vierge noire,Run,647.2,5.8,108.0,113.8,104,130.4,139.0,8441,780
18022131,Ravine des chèvres- Sainte Marie,Run,2212.1,47.1,16.5,30.5,445,472.0,484.0,16727,2504
24539301,TPC - 400 Côte ,Run,394.0,5.4,20.8,26.2,63,72.8,78.0,18407,3289
10368949,Chaussée royale - Parc du Colosse,Run,1194.5,13.7,15.5,25.2,216,225.9,232.0,5333,574
12104569,Boucle Coulée verte depuis Baudelaire,Run,1140.5,8.6,43.2,51.8,287,351.5,397.0,273,32
27798706,1000m chemin Agenor (Colosse) vers Champ Borne,Run,1009.7,2.8,31.6,37.4,142,189.4,212.0,2663,468
28864688,Montée Canal depuis la mer,Run,422.0,7.2,16.6,23.8,85,102.3,110.0,1087,236
35502587,AP021,Run,2711.0,15.0,25.0,33.0,576,615.4,638.0,787,244
29496354,de Ch lagourgue à Ch Lefaguyes  PM,Run,1058.6,0.0,13.2,19.4,161,221.1,243.0,3138,643
35502589,AP011,Run,519.0,0.0,25.0,32.0,63,89.4,97.0,10441,1183
30660751,Relance colosse-sentier litt. ,Run,1025.3,0.0,21.7,26.6,144,191.1,219.0,4396,580
29944712,Seuil TK (sens horaire),Run,1292.0,12.4,46.0,56.4,290,313.4,327.0,505,32
29944783,Seuil TK (sens anti-horaire),Run,1269.0,11.8,45.2,55.0,273,318.9,344.0,210,27
13022369,PIERREFOND ETANG SALE,Ride,6395.2,21.6,29.0,81.0,282,358.2,382.0,9738,902
23292464,Piste Cyclable parallèle TCSP-Allée des Cèdres,Ride,1000.5,11.2,42.6,53.8,61,85.9,90.0,38036,4777
20953900,faux plat aéroport,Ride,701.0,16.0,60.6,76.6,60,61.11,nan,9933,1427
22656934,N1 Bel Air - Le Gol,Ride,1402.9,2.2,69.2,82.6,62,64.67,nan,18260,1386
5881960,sentier terrain militaire,Ride,1756.1,43.4,18.0,57.0,218,241.0,257.0,1653,464
19303304,FDM l'étang retour après banc de sable,Ride,1140.8,4.4,-9.4,-5.0,112,116.1,120.0,10072,1732
25381639,Bérive-Tampon,Ride,2683.0,18.7,547.2,587.0,201,226.6,231.0,24196,2531
7222321,Ligne Bambou-Ligne 400,Ride,3352.9,205.3,266.2,466.8,455,461.3,465.0,14163,1621
18578062,Ascension mont-vert les hauts,Ride,3516.1,285.2,327.2,612.4,576,686.5,742.0,2110,756
17869157,Traversée Grand Bois,Ride,2471.6,34.2,9.0,30.7,174,176.3,177.0,29086,4758
17328510,Plaine des grègues partie dur ,Ride,1636.7,130.6,506.4,637.0,285,314.6,333.0,7607,1404
23191166,Rond Point Vincendo / Rond Point Langevin,Ride,2094.9,2.4,48.2,102.6,127,128.9,131.0,19354,3335
17267778,Lianes fin ,Ride,3687.0,224.2,181.8,406.0,591,632.5,654.0,11718,1603
15161715,Manapany Short,Ride,2381.9,119.8,51.1,152.0,236,248.0,255.0,18505,3499
10735042,G-Coude2,Ride,2422.8,466.4,701.4,1124.3,556,596.1,621.0,1326,589
14108529,Piton de Bloc,Ride,3110.5,265.8,636.0,872.7,603,662.1,723.0,790,205
5783868,Rue Claude Marion Climb,Ride,3113.0,216.8,396.2,613.0,543,637.9,685.0,1631,364
6380124,Route Forestière 38 des Camphriers Climb,Ride,7178.7,346.0,340.8,685.0,1676,1894.1,2108.0,245,94
15122400,point au sel,Ride,4003.6,37.4,25.4,60.6,232,262.6,278.0,154005,9416
7130069,Montée Stella (D11 : RN1 -> Pharmacie Stella Int. D25),Ride,2685.8,140.3,9.1,136.6,316,344.6,360.0,24723,3042
25057376,Ravine des sables Rond-Point Stella CLM aller,Ride,6629.0,52.2,-11.6,25.4,375,389.0,404.0,158257,8903
18998044,Montée Grand Fond les Hauts,Ride,635.8,40.2,363.7,403.9,63,68.0,73.0,16313,2403
26252974,Arrivée Full Saint Leu,Ride,3581.8,3.0,12.9,49.4,193,207.7,210.0,141302,8736
16653043,Bosse CD 13,Ride,594.4,24.2,395.8,420.0,60,62.6,nan,16762,2644
9951193,Chemin du cap,Ride,5630.1,516.2,-16.2,500.0,1294,1347.9,1423.0,1337,569
5193449,D16 (D3 -> Le Tevelave),Ride,2152.5,197.8,707.9,903.8,426,467.5,498.0,2580,1086
23270814,Route des sables,Ride,2924.3,9.4,10.4,19.0,165,195.4,213.0,100783,8483
20240898,sentier des sables,Ride,3146.6,5.6,23.0,28.6,199,213.6,220.0,96398,7036
10137942,Route des sables,Ride,5756.2,31.4,18.2,30.2,422,449.3,459.0,57467,5390
9083576,Rd Point le Pont / Bras de Pontho,Ride,5516.9,322.2,235.4,557.6,896,927.5,953.0,10256,1822
2163712,Impasse Jules Valles Climb,Ride,2412.12,242.542,585.7,820.2,506,548.2,581.0,6360,1533
20745147,Rte de Cilaos - La croix/Pavillon,Ride,13058.9,357.2,180.4,488.2,1420,1426.5,1448.0,11027,3645
16450409,14ème - 17ème,Ride,2042.0,137.0,820.0,957.0,250,317.7,357.0,6737,1555
13012733,Tampon-horloge Bois-Court,Ride,16051.5,791.0,524.8,1288.8,2567,3228.0,3498.0,158,89
16480624,Pont dessus dessous - Peter both ,Ride,2317.0,208.6,693.8,902.4,505,517.8,525.0,15314,4825
4918951,Cd 36 Nd de la Paix Climb,Ride,4112.7,399.4,1316.4,1715.8,1034,1140.4,1201.0,2118,999
20030980,PK27 col de bellevue,Ride,4855.2,72.8,1494.0,1557.6,477,511.0,522.0,3661,1357
12005514,Piton Sec - Nez de Boeuf,Ride,3609.6,272.4,1781.4,2053.8,419,606.4,763.0,5513,1972
16720088,Notre-Dame de la Paix par la plaine des cafres,Ride,7068.7,363.7,1419.1,1719.8,1227,1327.0,1423.0,409,260
21030068,CD 36 NOTRE DAME DE LA PAIX,Ride,1859.1,0.0,1431.8,1532.9,122,130.0,134.0,3053,995
17904297,dernier coup de cul volcan ,Ride,685.9,32.5,2330.6,2363.1,88,107.6,116.0,3726,1815
2279251,Route Du Volcan Climb,Ride,2709.96,172.0,2155.4,2327.4,452,515.8,539.0,3568,1793
22572164,Côte,Ride,916.9,29.2,131.6,160.8,72,81.5,85.0,21173,4169
2611952,Route Forestière 43 Bis Du Gîte Du Volcan Climb,Ride,1041.04,141.601,2234.5,2375.8,869,1084.5,1223.0,113,109
2509749,Route Du Volcan Climb,Ride,810.78,118.8,1956.8,2072.6,499,681.3,865.0,140,142
6560062,grande ravine,Ride,874.3,0.0,15.3,41.0,61,68.11,nan,165497,9665
7891878,Chemin armanet (montée Tois bassins),Ride,4844.0,325.1,368.4,642.5,686,744.7,780.0,19244,3082
5496510,Montée RF Maido (RF 68 Cryptomérias -> RF 9a Tamarins N),Ride,5032.1,550.3,1266.5,1741.2,546,836.6,1068.0,4791,2311
2611963,Chemin Vaudeville Climb,Ride,2322.44,176.665,1251.8,1427.1,488,523.4,563.0,700,340
18739062,ROUTE FORESTIERE MAIDO,Ride,7561.6,539.8,1050.8,1590.6,1851,2260.6,2545.0,381,139
8956639,DH Simanbry,Ride,2213.5,0.0,1445.0,1753.2,218,237.8,253.0,972,265
2509796,Sentier Du Grand Bénare Climb,Ride,1704.42,432.2,1516.8,1949.0,410,2452.3,3387.0,31,32
6731169,Chemin des Orangers Climb,Ride,1017.1,171.1,1149.9,1304.2,133,145.9,155.0,788,501
5485443,Chemin Ilet A Bourse Climb,Ride,552.2,140.4,825.2,966.6,494,691.2,780.0,85,65
20269944,Mare séche - Cilaos,Ride,2204.6,109.2,1118.2,1227.4,280,315.7,335.0,14594,4223
12273627,Montée de Terre Sainte,Ride,803.8,28.6,11.3,39.9,83,97.9,104.0,13035,3034
21584352,Dernier Kilomètes Cyclo-Civis,Ride,1225.8,0.0,66.4,77.0,97,99.5,103.0,18536,3892
24883480,descente CCI,Ride,2129.2,0.0,15.6,140.7,150,161.9,166.0,2542,894
19355320,Croix jubile école rond point aubépine ,Ride,1074.4,39.9,59.0,96.9,126,141.1,156.0,1327,531
20114271,Descente de l'Anse,Ride,1173.7,0.0,40.8,112.1,52,54.7,56.0,25994,4161
16618130,Chemin Sylvain Vitry Climb,Ride,839.1,55.0,159.4,214.4,127,138.7,146.0,684,121
22475082,* D29: Montvert les Bas - Ravine du Pont,Ride,5493.2,165.2,342.4,460.4,694,743.7,790.0,1420,507
16179740,Montée chemin Fortuné Grosset : Le mur du sud!,Ride,2025.5,212.0,443.0,655.0,609,638.7,689.0,54,36
19158567, Croix Jubilé/Bois Noirs,Ride,1809.0,21.6,68.8,90.4,144,152.4,154.0,19288,4209
2611967,Rue Louis Blériot Climb,Ride,1800.95,90.838,54.3,145.1,200,206.3,212.0,18856,3233
24336204,Chemin safer ,Ride,4975.2,344.4,279.4,623.8,1179,1320.7,1460.0,197,36
14081391,gîte BB,Ride,7443.6,532.0,51.1,583.1,1891,2060.22,nan,156,105
28796191,RF Mare Longue (RN à chemin Ceinture),Ride,1594.7,82.5,22.4,104.9,275,309.2,342.0,127,67
18964434,Descente maison pointue ,Ride,2710.4,2.0,18.8,158.1,181,182.4,183.0,21580,2883
13234063,UH1 foret etang salé,Ride,112.5,15.0,88.6,103.6,17,20.3,22.0,6545,840
13592386,Balle trappe short climb,Ride,1050.3,69.2,63.9,133.1,199,229.9,242.0,2895,523
15822384,Bosse clm raid des sables ,Ride,693.9,51.6,50.6,102.2,113,136.5,151.0,5359,669
22858850,Rond point solard discount Rte des sables,Ride,5443.0,5.0,7.0,28.0,444,461.8,473.0,26356,3615
22495117,Pont RSE (SL-SP),Ride,512.9,2.0,42.2,44.2,24,32.9,36.0,43018,5046
17238108,Saint Louis - L'Étang Salé,Ride,2947.2,6.8,7.2,17.1,169,186.4,197.0,15620,2854
21941354,Partie 4 voies. ,Ride,1942.3,2.0,12.2,15.6,84,106.6,112.0,16602,1346
22858392,Parking Golf Rond Point Solard Discount,Ride,5589.0,24.0,14.0,34.0,442,466.8,472.0,18120,3394
21914853,Monté Terrain Cross,Ride,450.9,42.4,132.8,175.2,69,80.6,89.0,1586,333
13850157,Pharmacie bois do - pont blanc,Ride,2777.6,100.2,159.6,259.8,275,316.9,323.0,10129,2022
5309499,Sentier de l'Entre Deux Climb,Ride,1629.1,87.0,392.2,479.8,247,260.6,269.0,12590,2099
22344971,Descente Entre-Deux,Ride,2302.7,4.3,260.1,403.9,143,159.4,165.0,11690,2084
8107242,Chemin la Ouette,Ride,999.8,56.6,22.6,79.2,133,149.3,155.0,3704,1006
12851670,Tampon to the 14th,Ride,5022.8,277.3,544.8,816.1,613,759.2,831.0,6106,1033
14733462,Hubert delisie a ia pointe,Ride,624.0,6.0,528.4,534.4,45,46.2,48.0,26170,2648
14446097,Ancienne route mc do - rond point ,Ride,847.4,39.2,427.4,466.6,97,106.0,110.0,15494,1707
24959481,MAMZEL vers CARRE VERT ,Ride,1391.8,2.0,564.2,594.6,111,117.2,123.0,8016,1320
16788330,Forêt du rond ,Ride,838.6,113.9,705.2,819.1,235,250.3,262.0,379,226
5973323,Chemin de Cap Blanc Climb,Ride,441.9,133.6,376.5,508.6,81,105.0,116.0,939,469
5882748,3eme palier,Ride,164.9,13.8,871.4,885.6,25,32.8,37.0,1788,318
4643362,Chemin Fonds Creux Climb,Ride,1839.5,85.4,586.4,671.8,220,245.9,260.0,6920,1639
21584299,Descente Emaus,Ride,718.4,0.0,90.2,94.6,40,45.6,47.0,42518,5682
21584314,Route de pierrefonds,Ride,2257.0,0.0,72.6,94.6,142,158.3,164.0,38204,5158
16537016,rpima 3/4 fdm pierrefonds,Ride,1709.4,16.2,22.8,28.0,166,173.3,180.0,4263,1090
